2025-08-05 05:43:51 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:43:51 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:43:51 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:43:51 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:32:35.477140)
2025-08-05 05:43:57 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:43:57 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:43:57 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-05 05:43:57 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-05 05:43:57 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-05 05:43:58 | Main         | INFO     | run_analysis_mode | 📊 분석 모드 시작 (전략: momentum, 최대: 10개)
2025-08-05 05:43:58 | KISCollector | INFO     | close           | Closing KIS API collector...
2025-08-05 05:43:58 | KISCollector | INFO     | close           | KIS API collector closed successfully
2025-08-05 05:46:02 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-05 05:46:17 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:46:17 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:46:17 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:46:17 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:30:09.318956)
2025-08-05 05:46:22 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:46:22 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:46:22 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-05 05:46:22 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-05 05:46:22 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-05 05:46:22 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-05 05:46:22 | Main         | INFO     | run_analysis_mode | 📊 분석 모드 시작 (전략: momentum, 최대: 5개)
2025-08-05 05:46:22 | KISCollector | INFO     | close           | Closing KIS API collector...
2025-08-05 05:46:22 | KISCollector | INFO     | close           | KIS API collector closed successfully
2025-08-05 05:46:56 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:46:56 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:46:56 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:46:56 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:29:31.029876)
2025-08-05 05:47:00 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:47:00 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:47:00 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-05 05:47:00 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-05 05:47:00 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-05 05:47:00 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-05 05:47:00 | Main         | INFO     | run_analysis_mode | 📊 분석 모드 시작 (전략: momentum, 최대: 3개)
2025-08-05 05:47:00 | KISCollector | INFO     | close           | Closing KIS API collector...
2025-08-05 05:47:00 | KISCollector | INFO     | close           | KIS API collector closed successfully
2025-08-05 05:47:17 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:47:17 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:47:17 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:47:17 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:29:09.687539)
2025-08-05 05:47:23 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:47:23 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:47:23 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-05 05:47:23 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-05 05:47:23 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-05 05:47:24 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-05 05:47:24 | Main         | INFO     | run_analysis_mode | 📊 분석 모드 시작 (전략: momentum, 최대: 1개)
2025-08-05 05:47:24 | KISCollector | INFO     | close           | Closing KIS API collector...
2025-08-05 05:47:24 | KISCollector | INFO     | close           | KIS API collector closed successfully
2025-08-05 05:48:25 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:48:25 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:48:25 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:48:25 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:28:01.234651)
2025-08-05 05:48:30 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:48:30 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:48:30 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
2025-08-05 05:48:30 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-08-05 05:48:30 | AnalysisEngine | INFO     | __init__        | ✅ 모든 하위 분석기 초기화 완료
2025-08-05 05:48:30 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-08-05 05:48:30 | Main         | INFO     | run_analysis_mode | 📊 분석 모드 시작 (전략: momentum, 최대: 3개)
2025-08-05 05:48:30 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 005930(삼성전자) 종합 분석 시작...
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 005930 종합 분석 중 치명적 오류: unhashable type: 'dict'
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ comprehensive 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ sentiment 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ supply_demand 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ chart_pattern 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 000660(SK하이닉스) 종합 분석 시작...
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 000660 종합 분석 중 치명적 오류: unhashable type: 'dict'
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ comprehensive 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ sentiment 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ supply_demand 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ chart_pattern 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | INFO     | analyze_comprehensive | 🚀 035420(NAVER) 종합 분석 시작...
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | ERROR    | analyze_comprehensive | ❌ 035420 종합 분석 중 치명적 오류: unhashable type: 'dict'
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ comprehensive 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ technical 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ sentiment 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ supply_demand 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | AnalysisEngine | WARNING  | _get_fallback_analysis | ⚠️ chart_pattern 분석 실패. Fallback 데이터를 사용합니다.
2025-08-05 05:48:30 | KISCollector | INFO     | close           | Closing KIS API collector...
2025-08-05 05:48:30 | KISCollector | INFO     | close           | KIS API collector closed successfully
2025-08-05 05:49:10 | KISCollector | INFO     | __init__        | pykis.Api integration enabled
2025-08-05 05:49:10 | KISCollector | INFO     | __init__        | KISCollector initialized (virtual: True)
2025-08-05 05:49:10 | KISCollector | INFO     | initialize      | Initializing KIS API collector...
2025-08-05 05:49:10 | KISCollector | INFO     | load_cached_token | Using cached token (expires in 9:27:16.986173)
2025-08-05 05:49:16 | KISCollector | INFO     | _test_connection | API connection test successful
2025-08-05 05:49:16 | KISCollector | INFO     | initialize      | KIS API collector initialized successfully
2025-08-05 05:49:16 | TechnicalAnalyzer | INFO     | __init__        | ✅ 기술적 분석기 초기화 완료
